hour,jobs_per_hour,jobs_per_minute,developer_weight,daily_average_jobs_per_minute
0,215.51724137931035,3.5919540229885056,0.0,17.36111111111111
1,215.51724137931035,3.5919540229885056,0.0,17.36111111111111
2,215.51724137931035,3.5919540229885056,0.0,17.36111111111111
3,215.51724137931035,3.5919540229885056,0.0,17.36111111111111
4,215.51724137931035,3.5919540229885056,0.0,17.36111111111111
5,215.51724137931035,3.5919540229885056,0.0,17.36111111111111
6,603.448275862069,10.057471264367816,0.0,17.36111111111111
7,603.448275862069,10.057471264367816,0.3,17.36111111111111
8,1034.4827586206895,17.241379310344826,0.3,17.36111111111111
9,2241.379310344828,37.356321839080465,1.0,17.36111111111111
10,2241.379310344828,37.356321839080465,1.0,17.36111111111111
11,2241.379310344828,37.356321839080465,1.0,17.36111111111111
12,1810.344827586207,30.17241379310345,1.0,17.36111111111111
13,1810.344827586207,30.17241379310345,1.0,17.36111111111111
14,2068.965517241379,34.48275862068965,1.0,17.36111111111111
15,2068.965517241379,34.48275862068965,1.0,17.36111111111111
16,2068.965517241379,34.48275862068965,1.0,17.36111111111111
17,1034.4827586206895,17.241379310344826,0.3,17.36111111111111
18,1034.4827586206895,17.241379310344826,0.3,17.36111111111111
19,1034.4827586206895,17.241379310344826,0.3,17.36111111111111
20,603.448275862069,10.057471264367816,0.0,17.36111111111111
21,603.448275862069,10.057471264367816,0.0,17.36111111111111
22,301.7241379310345,5.028735632183908,0.0,17.36111111111111
23,301.7241379310345,5.028735632183908,0.0,17.36111111111111
